,ADJOE,WAB,EFG_O,TOR,ORB,DRB,TORD,ADJDE,EFG_D,FTRD,ADJ_T,FTR,3P_D,2P_O,3P_O,W:G
0,123.3,8.6,52.6,15.4,40.7,30.0,18.2,94.9,48.1,30.4,71.7,32.3,36.2,53.9,32.7,0.825
1,129.1,11.3,54.8,12.4,32.1,23.7,15.8,93.6,47.7,22.4,59.3,36.2,37.5,54.8,36.5,0.9
2,114.4,6.9,53.9,14.0,25.5,24.9,19.5,90.4,47.7,30.0,65.9,30.7,33.2,54.7,35.2,0.825
3,115.2,7.0,53.5,17.7,27.4,28.7,22.8,85.2,43.0,36.6,67.5,32.9,29.7,52.8,36.5,0.816
4,117.8,7.7,56.6,16.2,30.0,26.2,17.1,86.3,41.1,26.9,71.5,39.0,29.0,56.3,38.2,0.949
5,117.2,3.9,49.9,18.1,42.0,29.7,16.1,96.2,46.0,36.8,65.9,51.8,32.2,50.0,33.2,0.725
6,121.5,6.2,54.6,14.6,32.5,29.4,18.7,93.7,48.0,22.7,64.8,28.4,32.6,53.4,37.9,0.789
7,125.2,10.7,56.6,16.3,35.8,30.2,18.6,90.6,46.5,23.9,66.4,39.8,31.4,55.9,38.7,0.897
8,123.0,11.1,55.2,14.7,30.4,25.4,17.5,89.9,44.7,26.3,60.7,29.1,28.9,52.5,39.5,0.921
9,121.0,8.4,51.7,16.2,41.3,25.0,18.6,91.5,48.1,31.6,72.8,34.3,33.9,51.0,35.5,0.846
10,123.1,8.9,56.1,16.3,28.2,29.4,20.6,90.9,46.7,30.0,66.7,34.1,33.9,57.4,36.2,0.875
11,128.4,10.6,59.5,15.0,29.6,27.1,18.2,94.1,48.5,26.7,69.6,29.4,31.7,59.0,40.1,0.9
12,112.5,4.7,51.5,17.3,30.4,32.8,19.6,91.3,44.6,35.7,64.8,38.3,33.0,48.1,38.7,0.8
13,115.9,9.0,50.6,18.3,38.2,33.3,27.0,84.5,44.8,34.9,67.1,40.0,31.8,50.8,33.3,0.875
14,109.4,5.8,47.7,17.2,34.7,30.8,21.3,87.4,44.0,33.3,65.6,38.7,30.3,48.4,30.7,0.75
15,125.3,8.6,58.3,14.5,27.9,32.2,17.3,98.6,47.9,24.1,63.9,36.7,32.6,58.2,39.0,0.842
16,118.3,2.3,54.0,15.3,32.7,32.1,14.8,103.3,49.5,26.0,65.5,32.9,36.9,52.9,37.4,0.667
17,119.9,8.6,54.8,15.1,29.9,25.2,18.8,91.0,48.4,33.4,61.9,32.1,34.7,52.6,40.3,0.784
18,122.3,6.6,55.9,17.5,38.8,30.0,17.3,92.9,46.4,22.3,70.9,34.6,32.0,56.0,37.2,0.784
19,113.2,0.9,53.2,17.8,32.3,29.8,19.4,96.4,48.4,32.4,72.5,37.0,35.5,53.6,35.0,0.657
20,118.9,11.2,53.6,17.5,35.6,29.5,19.4,89.2,45.0,24.0,73.6,33.2,29.9,58.0,30.8,0.842
21,122.8,6.1,53.6,15.8,34.5,27.0,18.6,94.3,49.0,31.7,67.0,29.9,34.2,51.5,37.4,0.722
22,120.9,11.6,55.7,17.8,32.2,27.9,18.5,90.4,45.1,37.3,70.1,38.6,32.5,52.7,41.3,0.865
